Date,AORD
1987-08-03,2060.600098
1987-08-04,2087.800049
1987-08-05,2088.100098
1987-08-06,2083.399902
1987-08-07,2083.800049
1987-08-10,2079.300049
1987-08-11,2084.199951
1987-08-12,2095.899902
1987-08-13,2104.600098
1987-08-14,2114.5
1987-08-17,2110.399902
1987-08-18,2108.5
1987-08-19,2103
1987-08-20,2085.100098
1987-08-21,2087.100098
1987-08-24,2085.600098
1987-08-25,2102.5
1987-08-26,2120.699951
1987-08-27,2155.5
1987-08-28,2163.100098
1987-08-31,2150
1987-09-01,2157.699951
1987-09-02,2176.899902
1987-09-03,2203.699951
1987-09-04,2194.899902
1987-09-07,2210.199951
1987-09-08,2207.800049
1987-09-09,2188.5
1987-09-10,2185
1987-09-11,2206.699951
1987-09-14,2206
1987-09-15,2230.600098
1987-09-16,2274.5
1987-09-17,2283.899902
1987-09-18,2305.399902
1987-09-21,2305.899902
1987-09-22,2291.699951
1987-09-23,2271
1987-09-24,2277.600098
1987-09-25,2282.5
1987-09-28,2274.399902
1987-09-29,2262.800049
1987-09-30,2247.600098
1987-10-01,2247.600098
1987-10-02,2247.600098
1987-10-05,2247.600098
1987-10-06,2247
1987-10-07,2217.300049
1987-10-08,2223
1987-10-09,2220.5
1987-10-12,2185
1987-10-13,2167.300049
1987-10-14,2184.899902
1987-10-15,2146.399902
1987-10-16,2144.899902
1987-10-19,2065.399902
1987-10-20,1549.900024
1987-10-21,1568.599976
1987-10-22,1628.900024
1987-10-23,1513.900024
1987-10-26,1415
1987-10-27,1316.300049
1987-10-28,1389.599976
1987-10-29,1283.800049
1987-10-30,1295.199951
1987-11-02,1360.900024
1987-11-03,1364.599976
1987-11-04,1290.099976
1987-11-05,1250.5
1987-11-06,1238
1987-11-09,1252
1987-11-10,1203.900024
1987-11-11,1151
1987-11-12,1205.900024
1987-11-13,1275.900024
1987-11-16,1292.300049
1987-11-17,1296.900024
1987-11-18,1284
1987-11-19,1283.699951
1987-11-20,1255.900024
1987-11-23,1249.5
1987-11-24,1266.099976
1987-11-25,1297.300049
1987-11-26,1311
1987-11-27,1321.900024
1987-11-30,1328.699951
1987-12-01,1328.699951
1987-12-02,1307.199951
1987-12-03,1286.300049
1987-12-04,1247.199951
1987-12-07,1231.699951
1987-12-08,1219.400024
1987-12-09,1237.900024
1987-12-10,1236.599976
1987-12-11,1219.400024
1987-12-14,1222.400024
1987-12-15,1248.699951
1987-12-16,1243.099976
1987-12-17,1250.599976
1987-12-18,1239.800049
1987-12-21,1250.300049
1987-12-22,1267.800049
1987-12-23,1287.5
1987-12-24,1313.099976
1987-12-29,1304.800049
1987-12-30,1298.699951
1987-12-31,1320
1988-01-04,1297.400024
1988-01-05,1309.300049
1988-01-06,1321.900024
1988-01-07,1316.599976
1988-01-08,1309.5
1988-01-11,1266.199951
1988-01-12,1285.199951
1988-01-13,1272.800049
1988-01-14,1264.099976
1988-01-15,1277.5
1988-01-18,1293.300049
1988-01-19,1298.699951
1988-01-20,1295.300049
1988-01-21,1276.599976
1988-01-22,1277.5
1988-01-27,1269.5
1988-01-28,1253
1988-01-29,1257.099976
1988-02-01,1238.300049
1988-02-02,1240.599976
1988-02-03,1248.5
1988-02-04,1223.099976
1988-02-05,1219.699951
1988-02-08,1203.199951
1988-02-09,1180.300049
1988-02-10,1170.699951
1988-02-11,1195.199951
1988-02-12,1199.400024
1988-02-15,1209.900024
1988-02-16,1214.900024
1988-02-17,1232.099976
1988-02-18,1243.599976
1988-02-19,1243.199951
1988-02-22,1250.699951
1988-02-23,1263.199951
1988-02-24,1257.900024
1988-02-25,1244.800049
1988-02-26,1240.900024
1988-02-29,1250.699951
1988-03-01,1273.900024
1988-03-02,1285.900024
1988-03-03,1293.400024
1988-03-04,1298.5
1988-03-07,1324.400024
1988-03-08,1316.400024
1988-03-09,1341
1988-03-10,1359.199951
1988-03-11,1354.300049
1988-03-14,1362
1988-03-15,1359.099976
1988-03-16,1357.699951
1988-03-17,1382.5
1988-03-18,1414
1988-03-21,1432.599976
1988-03-22,1420.800049
1988-03-23,1427.199951
1988-03-24,1450.300049
1988-03-25,1425.099976
1988-03-28,1380.800049
1988-03-29,1396
1988-03-30,1416.5
1988-03-31,1415.599976
1988-04-05,1412.5
1988-04-06,1407.599976
1988-04-07,1412.699951
1988-04-08,1424.599976
1988-04-11,1453.800049
1988-04-12,1447.900024
1988-04-13,1462.599976
1988-04-14,1467.599976
1988-04-15,1436.900024
1988-04-18,1450.900024
1988-04-19,1452.400024
1988-04-20,1430.099976
1988-04-21,1439.099976
1988-04-22,1436.599976
1988-04-26,1440.900024
1988-04-27,1443.300049
1988-04-28,1449.900024
1988-04-29,1457.199951
1988-05-02,1456
1988-05-03,1445.099976
1988-05-04,1443.300049
1988-05-05,1426.300049
1988-05-06,1423.400024
1988-05-09,1410.800049
1988-05-10,1399.900024
1988-05-11,1406.300049
1988-05-12,1389.099976
1988-05-13,1403.099976
1988-05-16,1425.300049
1988-05-17,1438.699951
1988-05-18,1453.400024
1988-05-19,1442.800049
1988-05-20,1456.199951
1988-05-23,1461.5
1988-05-24,1470
1988-05-25,1490.5
1988-05-26,1513.800049
1988-05-27,1539
1988-05-30,1540
1988-05-31,1566.900024
1988-06-01,1586.099976
1988-06-02,1564.099976
1988-06-03,1581.699951
1988-06-06,1598.400024
1988-06-07,1595.199951
1988-06-08,1591.300049
1988-06-09,1590.400024
1988-06-10,1586.599976
1988-06-14,1569.5
1988-06-15,1587.5
1988-06-16,1599.5
1988-06-17,1600.5
1988-06-20,1618.199951
1988-06-21,1602
1988-06-22,1612.900024
1988-06-23,1600.800049
1988-06-24,1574.400024
1988-06-27,1567.199951
1988-06-28,1544.599976
1988-06-29,1560.800049
1988-06-30,1554.900024
1988-07-01,1558.900024
1988-07-04,1560.099976
1988-07-05,1572.300049
1988-07-06,1589.699951
1988-07-07,1599.800049
1988-07-08,1612.599976
1988-07-11,1629.099976
1988-07-12,1625.900024
1988-07-13,1620.400024
1988-07-14,1616.199951
1988-07-15,1623.599976
1988-07-18,1642.5
1988-07-19,1623.400024
1988-07-20,1622
1988-07-21,1633.199951
1988-07-22,1636.199951
1988-07-25,1630.199951
1988-07-26,1619.599976
1988-07-27,1612.699951
1988-07-28,1600.099976
1988-07-29,1611.699951
1988-08-01,1624.599976
1988-08-02,1623.800049
1988-08-03,1622.699951
1988-08-04,1631.800049
1988-08-05,1641.400024
1988-08-08,1644
1988-08-09,1657.099976
1988-08-10,1627.400024
1988-08-11,1616.800049
1988-08-12,1623.5
1988-08-15,1624.900024
1988-08-16,1600.099976
